,resource,type,resource_attributes,ts,values
327748,5.948095306408936e+17,process,"[linux, kworker/11:1H-events_highpri, , root, param-workhorse, param-workhorse, 2, , 191, ]",1714641736000,"[0.0, 0.0015314722100197246, 0.04, 0.0, 0.0, 0.0]"
327749,5.948095306408936e+17,process,"[linux, 191, kworker/11:1H-kblockd, root, param-workhorse, , , 2, param-workhorse, ]",1714641741000,"[0.0, 0.0015305006381066103, 0.04, 0.0, 0.0, 0.0]"
327750,5.948095306408936e+17,process,"[param-workhorse, , kworker/11:1H-events_highpri, root, 191, linux, , , param-workhorse, 2]",1714641746000,"[0.0, 0.0015295254336647488, 0.04, 0.0, 0.0, 0.0]"
327751,5.948095306408936e+17,process,"[, root, param-workhorse, param-workhorse, , 2, , 191, kworker/11:1H-events_highpri, linux]",1714641751000,"[0.0, 0.0015285423350186015, 0.04, 0.0, 0.0, 0.0]"
327752,5.948095306408936e+17,process,"[191, param-workhorse, 2, param-workhorse, , , root, linux, , kworker/11:1H-events_highpri]",1714641756000,"[0.0, 0.0015275795084726115, 0.04, 0.0, 0.0, 0.0]"
327753,5.948095306408936e+17,process,"[, param-workhorse, 2, root, param-workhorse, kworker/11:1H-events_highpri, , , linux, 191]",1714641761000,"[0.0, 0.001526607693510432, 0.04, 0.0, 0.0, 0.0]"
327754,5.948095306408936e+17,process,"[root, 2, , , , kworker/11:1H-events_highpri, linux, 191, param-workhorse, param-workhorse]",1714641766000,"[0.0, 0.0015256340914143105, 0.04, 0.0, 0.0, 0.0]"
327755,5.948095306408936e+17,process,"[linux, 191, param-workhorse, root, , , 2, param-workhorse, , kworker/11:1H-events_highpri]",1714641771000,"[0.0, 0.0015246589176835484, 0.04, 0.0, 0.0, 0.0]"
327756,5.948095306408936e+17,process,"[root, , 191, linux, param-workhorse, param-workhorse, 2, kworker/11:1H-events_highpri, , ]",1714641776000,"[0.0, 0.0015236916099364377, 0.04, 0.0, 0.0, 0.0]"
327757,5.948095306408936e+17,process,"[linux, , , param-workhorse, param-workhorse, 2, kworker/11:1H-kblockd, , 191, root]",1714641781000,"[0.0, 0.001522730219946272, 0.04, 0.0, 0.0, 0.0]"
